index,item_id,map_id
4164,B019XGVHYE,4164
0,B0000DIWNI,0
1393,B00RGNFT0A,1393
1533,B00T4MI1JM,1533
1833,B00UFUZ546,1833
3020,B011C14YKW,3020
123,B000RY6GL6,123
968,B00NJ1O5FI,968
1785,B00UB78WDE,1785
782,B00LTKW5YE,782
4207,B01ARRHA3K,4207
2152,B00VHNUXHY,2152
2983,B011B6PT6Q,2983
105,B000RK4GNA,105
515,B00IAE8E9M,515
4102,B0197U2XN0,4102
3886,B017XKIUHY,3886
2095,B00VC59S3M,2095
3881,B017WGIWWM,3881
250,B000WHZMJK,250
4467,B01COSTTUC,4467
1691,B00U7WNQRU,1691
4855,B01HEZ9J96,4855
1010,B00NQ2K7B6,1010
3257,B0133957CK,3257
903,B00N952UCY,903
2268,B00W6T02WO,2268
3593,B015ZIE1TC,3593
830,B00MHTEKDU,830
985,B00NO0AGE8,985
4477,B01CTRH04K,4477
4527,B01DBCCKQK,4527
625,B00J2LBXZO,625
2013,B00V1OVLIY,2013
4651,B01FUGUXC8,4651
1172,B00OTE8I9S,1172
3737,B016F7G2T4,3737
3175,B012F2QI6K,3175
1127,B00O903IQA,1127
4536,B01DNT8QC8,4536
2466,B00XA9CTK2,2466
4675,B01G3ARWW4,4675
3366,B014CZ23K8,3366
3092,B011TU2WK0,3092
4055,B018JPIBRQ,4055
1387,B00REK0AC2,1387
1315,B00QKIGVOU,1315
4600,B01EMZCHL8,4600
36,B000Q5LWE2,36
1698,B00UAK5KZK,1698
3710,B016F7CZUO,3710
3078,B011RA2FP4,3078
55,B000QU3N7Q,55
1651,B00TWZRSG8,1651
187,B000VDV1UO,187
4594,B01EMZABU2,4594
2530,B00YMSTOWQ,2530
631,B00J2MIJ9Q,631
2746,B010D07CM0,2746
2144,B00VH59AIK,2144
2664,B00ZVHGKKG,2664
2616,B00ZHD07W6,2616
3693,B016DHCA7E,3693
588,B00J0BA1T0,588
265,B000YK0S58,265
3946,B017XKQIWS,3946
