index,user_id,sequence_item_ids,sequence_ratings,sequence_timestamps
3870,3870,"2678,1719,4512,139,4235,1188,1174","5.0,5.0,5.0,5.0,5.0,5.0,5.0","1512950400,1512950400,1512950400,1512950400,1512950400,1512950400,1523318400"
8546,8546,"311,3285,4047,4646,3794,4466,2458,4518,3741,1367,3555,2849,1040,1281","4.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0","1487635200,1487635200,1487635200,1493856000,1493856000,1493856000,1509926400,1509926400,1509926400,1509926400,1509926400,1516838400,1516838400,1516838400"
9103,9103,"841,3114,1005,2369,322,676,1406,942","5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0","1457740800,1457740800,1462147200,1470787200,1513123200,1513123200,1513123200,1513123200"
7810,7810,"1244,1188,1129,1356,891,4102,1441,4182,877,4072,3400","3.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0","1431388800,1433635200,1444867200,1445472000,1450396800,1465084800,1470960000,1477958400,1480636800,1480636800,1528329600"
3064,3064,"1038,1271,1198,1098,1234,1395,2038,942,670,1203,2023,1374,1392,3236,2885,4","2.0,5.0,2.0,4.0,5.0,5.0,2.0,1.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0","1424563200,1431561600,1431561600,1431561600,1431561600,1458000000,1458000000,1458000000,1458000000,1458000000,1463011200,1463011200,1463011200,1463011200,1463961600,1487894400"
1091,1091,"306,3598,2859,3605,3350,2876,2130","5.0,5.0,5.0,5.0,5.0,5.0,4.0","1469318400,1477612800,1477612800,1477612800,1481241600,1481241600,1481241600"
11218,11218,"1764,467,422,421,438","5.0,5.0,5.0,5.0,5.0","1508371200,1508371200,1508371200,1508371200,1508371200"
8244,8244,"597,1657,1359,3972,1150","5.0,5.0,5.0,5.0,5.0","1469232000,1469232000,1469232000,1469232000,1469232000"
2884,2884,"451,1781,4635,2466,1443","4.0,5.0,4.0,5.0,5.0","1451952000,1455062400,1479168000,1481932800,1493424000"
2700,2700,"1298,1374,2167,1377,1378,403,4104,407","5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0","1455753600,1455753600,1455753600,1455753600,1455753600,1455753600,1495584000,1495584000"
8564,8564,"1271,450,4599,2456,2660,1444,234,4429,98","4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0","1505001600,1505001600,1505001600,1505001600,1505001600,1505001600,1505001600,1505001600,1505001600"
704,704,"594,113,1363,441,650,4500,4481,4482","5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0","1452297600,1452297600,1452297600,1452297600,1452297600,1471392000,1478044800,1478044800"
8146,8146,"327,1267,2793,383,1210,3415","5.0,5.0,3.0,3.0,5.0,5.0","1520467200,1520467200,1520467200,1520467200,1520467200,1520467200"
11752,11752,"4663,3894,2051,4795,2461,1234,3976,2610,2040,3908,4748,3902,3904,3897,440,2466,3896,153,1602","5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0","1477267200,1482710400,1482710400,1482710400,1482710400,1482710400,1482710400,1482710400,1482710400,1482710400,1482710400,1482710400,1482710400,1485993600,1485993600,1485993600,1485993600,1508457600,1525651200"
8925,8925,"3548,557,4475,2844,1639,1960,841,3546","5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0","1512086400,1512172800,1512172800,1512172800,1512604800,1514505600,1517616000,1520553600"
1014,1014,"1166,1375,940,28,2265,914","5.0,5.0,5.0,5.0,5.0,5.0","1452556800,1452556800,1452556800,1452556800,1452556800,1452556800"
2976,2976,"669,1448,861,1377,710","4.0,5.0,3.0,4.0,5.0","1464220800,1464220800,1464220800,1464220800,1464220800"
6846,6846,"1867,434,660,294,3022,2936,1716,948,354,4702,19,1638,1792,248,2812,383","5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0","1483488000,1483488000,1483488000,1483488000,1483488000,1483488000,1483488000,1483488000,1483488000,1483488000,1483488000,1483488000,1483488000,1483488000,1483488000,1483488000"
11447,11447,"581,3774,4510,2794,2829,2719,425","5.0,5.0,3.0,5.0,4.0,5.0,5.0","1473897600,1473897600,1473897600,1473897600,1473897600,1473897600,1484870400"
1835,1835,"1868,841,4844,2939,1866,803","5.0,5.0,5.0,5.0,5.0,5.0","1495584000,1495584000,1495584000,1495584000,1495584000,1520899200"
3388,3388,"3040,2849,942,893,3544,559","5.0,5.0,5.0,5.0,5.0,5.0","1456876800,1457308800,1478563200,1479340800,1479340800,1486944000"
6586,6586,"2028,670,774,589,1351","5.0,5.0,5.0,5.0,5.0","1435795200,1435795200,1435795200,1437264000,1437264000"
1363,1363,"248,754,1344,422,539,1203,1367,1359,1703","2.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,4.0","1420329600,1420329600,1441152000,1441152000,1441152000,1441152000,1441152000,1441152000,1441152000"
