index,item_id,map_id
4140,B01C82SZRM,4140
3379,B00R73MC1S,3379
530,B000KBU66W,530
1751,B006RBAU74,1751
1215,B003JQJQQ6,1215
1691,B0064ODVLG,1691
2986,B00K80M79Y,2986
3372,B00R1ISK8I,3372
2553,B00EQI9K9O,2553
3550,B00WEBZWGU,3550
2325,B00CEK2TNU,2325
562,B000LNS25Q,562
2291,B00C45208O,2291
3467,B00TQ7DQU4,3467
3698,B0118XCKTG,3698
1629,B005TIKPQW,1629
336,B000BZX92K,336
253,B000AZ546U,253
1657,B005Z4QVZ4,1657
1014,B001R68H9W,1014
4368,B01H2SH92Y,4368
1007,B001QRRDJM,1007
3005,B00KLQB6BK,3005
2385,B00CVZ4134,2385
629,B000OMFLD0,629
4236,B01E7D9BNC,4236
2932,B00JG31KBA,2932
1614,B005QSMEK0,1614
214,B0007KQUMK,214
309,B000BQPAFI,309
4345,B01GD8LCFO,4345
2782,B00HUBZO7Q,2782
4355,B01GNWA6JI,4355
3989,B018OCOROU,3989
3899,B016X3TL7K,3899
2739,B00H3Q6KOY,2739
3673,B010LDZKN2,3673
4370,B01H3DNKYY,4370
2666,B00G9R07WO,2666
4371,B01H3IIE40,4371
2813,B00I5HRFSU,2813
4336,B01G6VMS9C,4336
3061,B00LK51PDK,3061
282,B000BOB8P6,282
2945,B00JKPZONO,2945
3144,B00MF03LAE,3144
2965,B00JRBQJ6W,2965
2659,B00G6U5H1U,2659
3470,B00TS7TYXA,3470
1520,B005B7A0Z2,1520
2368,B00CR8ZRC4,2368
3586,B00XN4111W,3586
3745,B013QBEWEO,3745
1443,B0050RMTUC,1443
3561,B00WW6RGLG,3561
587,B000MVZ020,587
3672,B010LDZKM8,3672
3721,B012BNXIH0,3721
1683,B0064H0MVK,1683
2367,B00CR8ZRBU,2367
2886,B00IZFQ5E2,2886
1537,B005FH2O6G,1537
1514,B00598DJDI,1514
1741,B006O93GLQ,1741
4004,B0192F97J8,4004
3160,B00MMUXP4E,3160
641,B000OWAYVY,641
3886,B016EOKTWO,3886
2254,B00BMANPA4,2254
1772,B006UKICMW,1772
1147,B002WJHEHY,1147
3012,B00KNUCB4A,3012
2354,B00CO9VLLW,2354
1590,B005MSHFDU,1590
593,B000N3209S,593
3116,B00MA6JG3O,3116
2522,B00ED150S4,2522
1637,B005V9UU0A,1637
2273,B00BW7MK0S,2273
2414,B00D8FUM8E,2414
3922,B017GUBHDK,3922
2978,B00K50428Q,2978
2531,B00EEIG4K4,2531
3060,B00LIE9T5Y,3060
3363,B00QRR2XL4,3363
4310,B01FI6IKG6,4310
1831,B007B2AES8,1831
3293,B00OMOK186,3293
3250,B00NQ36MBY,3250
2869,B00IRIR8FW,2869
3702,B011BLH4GE,3702
2446,B00DN1BU52,2446
3254,B00NSGDY2E,3254
4074,B01APP1EXG,4074
188,B0002ZPEWC,188
1616,B005R8580M,1616
3132,B00ME7NHJ8,3132
4182,B01CWJ02QI,4182
2830,B00IB0ZJXE,2830
3484,B00UHJ6QCA,3484
3757,B0140VT4KG,3757
3054,B00LH0SCO8,3054
3930,B017KUC6XQ,3930
1082,B0029XJANE,1082
4179,B01CUPV90M,4179
2572,B00EZBDOGM,2572
2120,B00AEXKR4C,2120
2469,B00DVOVGW8,2469
975,B001MKBAPQ,975
3764,B0146DJWFU,3764
3464,B00TL1A4E6,3464
777,B0013CCCAK,777
2942,B00JJ46OZI,2942
4086,B01B5KQ8DQ,4086
2442,B00DM8J3MI,2442
612,B000NI5D06,612
1296,B0043XX89K,1296
697,B000TGSPV6,697
421,B000GP05VS,421
2550,B00EPQMFWQ,2550
2710,B00GS8W3T4,2710
3924,B017IEN2O6,3924
3653,B00ZZRI0DC,3653
1786,B006Z95LVI,1786
4019,B0199R9WH6,4019
3147,B00MFRZ2SG,3147
1694,B0064OFP88,1694
1367,B004NW96BK,1367
3816,B015A3DRO2,3816
3593,B00XX8XPCQ,3593
3823,B015I1CVRK,3823
3113,B00M78245C,3113
4126,B01C2FWYAO,4126
3710,B011PVIMPW,3710
26,B00004TBJD,26
3707,B011LVVIS4,3707
4172,B01CRVL95E,4172
1179,B003BDW2SG,1179
2911,B00J25JDDY,2911
1952,B0088ARCUU,1952
345,B000CSIBCO,345
1138,B002U42VW4,1138
2527,B00EDMCFAE,2527
1578,B005L90NA2,1578
1923,B00835NI9E,1923
1112,B002JFYIV6,1112
2884,B00IYFOIYW,2884
4249,B01EJL4T3Y,4249
3584,B00XJAX1RC,3584
2655,B00G2E6UZC,2655
2583,B00F3IXF9M,2583
4095,B01BDL4NKM,4095
3498,B00UWVZAY8,3498
1328,B004DBQ0D8,1328
831,B0018MGRQU,831
2,B0000223UV,2
3118,B00MAZFQ7A,3118
1353,B004LPZ42Y,1353
2351,B00CNVDTRK,2351
1200,B003GSKZLW,1200
2182,B00AWS3HS2,2182
2104,B00A7I5IP2,2104
1145,B002WC8TPW,1145
2258,B00BP36BG8,2258
748,B0011Z82YO,748
1319,B004BKIYYY,1319
3890,B016LQLD4S,3890
3643,B00ZBGDR1W,3643
2306,B00C8SOF0S,2306
774,B0013B1XHE,774
3063,B00LKQBHVO,3063
1302,B0045I8E4M,1302
1033,B001VE99X8,1033
1881,B007PP26RI,1881
3086,B00LVPDBA4,3086
3081,B00LT1OYKQ,3081
2496,B00E6BD0G0,2496
1305,B00466J4FQ,1305
412,B000FW7UOM,412
1066,B0025QI4XC,1066
2175,B00AW17SNO,2175
708,B000UV6ZPS,708
2111,B00AA5AH62,2111
3385,B00RDILWTK,3385
3016,B00KPEEPAW,3016
3834,B015I1DAXE,3834
2463,B00DVBPKB4,2463
4349,B01GG1F006,4349
3167,B00MN5X304,3167
3329,B00PNEQ9T4,3329
3423,B00SPMDFPW,3423
2973,B00K1JU51O,2973
3532,B00W0YUV1W,3532
2679,B00GGJ4X9S,2679
1579,B005LDBD1G,1579
144,B0002APRLA,144
3976,B018F5878I,3976
4059,B01ABPUGH0,4059
3111,B00M4D0IPS,3111
1752,B006RBB3AC,1752
68,B00004Z4DS,68
2840,B00IEVE4MC,2840
3991,B018QNM7V2,3991
553,B000LGPD64,553
848,B0019ZDHVY,848
34,B00004WLKA,34
3178,B00MV7T0KQ,3178
3802,B014Y0VGOU,3802
1148,B002WJHEJ2,1148
3125,B00ME76OHA,3125
1325,B004CR4OP4,1325
1432,B004ZN7YCK,1432
99,B0000DCZKA,99
4105,B01BO4R44A,4105
3104,B00M1GJP1Q,3104
1516,B005A16ZGC,1516
1382,B004SS8AMU,1382
707,B000UUX7VO,707
1108,B002IPH5JO,1108
1490,B0055DZ3EK,1490
3894,B016R3GLB0,3894
1217,B003JY7LBU,1217
2833,B00ID7E5VM,2833
2310,B00CAG22C6,2310
496,B000I6JJHG,496
2326,B00CEK3A74,2326
111,B0000DD5EN,111
4181,B01CV49CZQ,4181
1125,B002P50DS2,1125
2735,B00H1O0WOM,2735
2848,B00IIDY49E,2848
4119,B01BYDLC26,4119
3814,B015A3AAEC,3814
2525,B00ED2F0EC,2525
4250,B01EJLT8RG,4250
2293,B00C58N9O4,2293
1103,B002EE6C3Y,1103
2539,B00EKQ7FZI,2539
3442,B00T3BJJK4,3442
3039,B00L4RCTDE,3039
2644,B00FX6ZQDM,2644
4369,B01H35YR7Q,4369
2859,B00IN9S9H6,2859
1711,B00689V41G,1711
2825,B00IAM1UEU,2825
37,B00004WLKT,37
1273,B003ZZWG5E,1273
3872,B0166I8IU8,3872
3784,B014QNXK6C,3784
