index,user_id,sequence_item_ids,sequence_ratings,sequence_timestamps
5406,5406,"259,1607,848,1260,2001","4.0,4.0,3.0,3.0,5.0","1433548800,1443484800,1445817600,1512950400,1523059200"
6580,6580,"469,3753,2949,1881,24","5.0,5.0,5.0,5.0,5.0","1421971200,1436486400,1436486400,1445299200,1523577600"
3020,3020,"1146,1657,3333,947,697","5.0,5.0,5.0,5.0,5.0","1412985600,1446422400,1447718400,1465862400,1524614400"
6923,6923,"1226,2451,866,2838,4048","2.0,3.0,5.0,5.0,4.0","1412812800,1426464000,1426464000,1426464000,1506816000"
4238,4238,"31,1260,2451,2801,146","5.0,5.0,5.0,5.0,3.0","1425600000,1438992000,1446249600,1447200000,1451174400"
2796,2796,"2117,1872,3115,3921,230,1488","1.0,5.0,5.0,5.0,3.0,5.0","1385424000,1431216000,1451692800,1456012800,1463270400,1480032000"
1123,1123,"2659,3450,2012,3361,3864","3.0,5.0,5.0,5.0,5.0","1478044800,1478044800,1479081600,1479081600,1519257600"
3843,3843,"2561,3545,2900,3046,3906","3.0,5.0,1.0,1.0,4.0","1466467200,1466467200,1467244800,1467244800,1481587200"
1373,1373,"22,2368,2366,2439,3854","5.0,4.0,5.0,5.0,5.0","1446768000,1455148800,1455148800,1455148800,1455148800"
6255,6255,"432,3130,3124,2895,2609,2898,3142,2892,2894,3675,3672,3942,3131,3120,3462,3318","3.0,4.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,3.0,5.0,5.0,4.0,5.0,5.0","1379980800,1460332800,1460419200,1460419200,1460419200,1460419200,1460419200,1460419200,1460419200,1466726400,1466726400,1474848000,1474848000,1491004800,1491350400,1517875200"
4212,4212,"3596,2879,3978,3556,3625,4317,3166","1.0,1.0,5.0,1.0,5.0,3.0,5.0","1451692800,1451865600,1452297600,1452297600,1453766400,1473120000,1518480000"
7757,7757,"1617,878,1637,2138,2885","5.0,5.0,5.0,5.0,5.0","1466985600,1469404800,1469404800,1469404800,1471824000"
468,468,"188,3057,3054,2276,365,553","5.0,5.0,3.0,4.0,5.0,5.0","1433116800,1445731200,1445731200,1450137600,1490659200,1514937600"
706,706,"4317,2492,4013,3188,3795","4.0,5.0,2.0,5.0,5.0","1518048000,1518048000,1519344000,1519344000,1531267200"
2531,2531,"2185,1356,2101,2042,644","5.0,3.0,4.0,4.0,4.0","1425254400,1425340800,1425859200,1425859200,1454889600"
7141,7141,"3988,3365,3133,3120,4000","4.0,5.0,5.0,5.0,4.0","1482796800,1484265600,1519084800,1519084800,1519084800"
581,581,"2476,1773,2967,4296,2805,1839,207,1500","5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0","1422230400,1422230400,1424995200,1424995200,1424995200,1424995200,1443052800,1490918400"
8430,8430,"2791,2632,354,934,2248,946,1436","4.0,4.0,5.0,5.0,5.0,5.0,5.0","1445817600,1463616000,1467936000,1474416000,1518134400,1518566400,1523577600"
2238,2238,"117,577,2001,1716,305,252","5.0,5.0,5.0,5.0,5.0,5.0","1387065600,1395100800,1455408000,1461542400,1469318400,1469318400"
405,405,"3636,3165,948,3398,3637,2352,2559,3986,3660,4068","4.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,2.0","1453766400,1453766400,1453852800,1459382400,1460678400,1463875200,1473033600,1475452800,1477699200,1518048000"
1483,1483,"134,406,1110,365,1433,860","3.0,5.0,5.0,5.0,5.0,5.0","1322006400,1344211200,1406764800,1406764800,1407283200,1456531200"
6646,6646,"816,813,814,817,363,811","5.0,5.0,5.0,5.0,5.0,5.0","1425340800,1425340800,1425340800,1425340800,1425340800,1425340800"
8211,8211,"729,2536,2537,137,1394,4143","5.0,5.0,3.0,4.0,4.0,4.0","1428105600,1455926400,1455926400,1456876800,1492905600,1492905600"
3437,3437,"999,1486,1069,109,3995","5.0,5.0,5.0,5.0,3.0","1401235200,1407628800,1422662400,1446249600,1498348800"
4113,4113,"1568,1473,1537,916,1525","5.0,5.0,5.0,5.0,3.0","1407456000,1419206400,1419552000,1452297600,1454889600"
7251,7251,"2443,2299,493,1568,4051","5.0,5.0,5.0,5.0,4.0","1402790400,1411862400,1435276800,1441756800,1468454400"
2184,2184,"331,721,414,1106,3058,3927","5.0,5.0,5.0,4.0,5.0,5.0","1388448000,1396224000,1428537600,1428537600,1445731200,1461110400"
4372,4372,"151,1715,1050,2912,4165","5.0,5.0,1.0,3.0,5.0","1462406400,1490572800,1504915200,1504915200,1516492800"
6322,6322,"854,1839,1767,1657,2169,2164,2171,2475","4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0","1432598400,1432771200,1432771200,1432771200,1432857600,1432857600,1432857600,1432857600"
